,host_id,host_acceptance_rate,host_response_rate,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,reviews_per_month,superhost_flag,host_identity_verified_flag
1877,24048855,96%,100%,35.61991,-82.60693,Private room in house,Private room,2,1.5,1.0,1.0,95.00,100.0,1.19,1,1
1878,246993350,100%,100%,35.50986,-82.66217,Entire house,Entire home/apt,6,2,3.0,4.0,161.00,98.0,3.92,1,0
1879,280757279,99%,100%,35.59152,-82.53564,Private room in house,Private room,2,1,1.0,1.0,49.00,94.0,8.22,1,0
1880,196608665,100%,100%,35.60613,-82.56315,Private room in bed and breakfast,Private room,2,1,1.0,1.0,205.00,100.0,0.13,1,1
1881,194503310,100%,100%,35.60449,-82.56514,Private room in bed and breakfast,Private room,2,1,1.0,1.0,176.00,100.0,0.34,1,1
1882,194503310,100%,100%,35.60518,-82.5655,Private room in bed and breakfast,Private room,2,1,1.0,1.0,195.00,100.0,0.53,1,1
1883,194503310,100%,100%,35.60449,-82.56503,Private room in bed and breakfast,Private room,2,1,1.0,1.0,167.00,100.0,0.54,1,1
1884,194503310,100%,100%,35.60385,-82.56388,Private room in bed and breakfast,Private room,2,1,1.0,1.0,154.00,97.0,0.68,1,1
1885,355229416,100%,100%,35.50982,-82.66601,Entire apartment,Entire home/apt,2,1,1.0,1.0,105.00,94.0,2.37,0,1
1887,6997230,96%,100%,35.56982,-82.63377,Entire house,Entire home/apt,8,2.5,3.0,4.0,237.00,100.0,4.49,1,1
1888,134739242,100%,100%,35.61424,-82.53984,Private room in house,Private room,3,1,,2.0,120.00,100.0,3.0,0,0
1890,105838974,98%,100%,35.50977,-82.61598,Entire house,Entire home/apt,6,2,3.0,4.0,187.00,100.0,1.05,1,1
1891,221767106,82%,100%,35.59022,-82.46846,Entire house,Entire home/apt,4,1,2.0,2.0,125.00,100.0,0.77,0,0
1893,246993350,100%,100%,35.50907,-82.66256,Entire house,Entire home/apt,6,2,3.0,4.0,161.00,97.0,3.65,1,0
1894,151397468,99%,100%,35.46349,-82.57896,Entire house,Entire home/apt,8,2,3.0,5.0,167.00,83.0,0.75,0,0
1895,146202451,100%,100%,35.5798,-82.63111,Entire house,Entire home/apt,4,2,2.0,2.0,126.00,98.0,4.73,1,1
1896,10699816,100%,100%,35.62695,-82.52247,Entire house,Entire home/apt,12,2.5,4.0,6.0,445.00,100.0,6.53,1,1
1897,357435786,100%,100%,35.59314,-82.59148,Entire apartment,Entire home/apt,2,1,1.0,0.0,125.00,100.0,1.56,1,0
1898,176087087,100%,92%,35.59671,-82.62163,Entire apartment,Entire home/apt,2,1,1.0,1.0,89.00,92.0,2.24,0,0
1899,344807572,100%,100%,35.54819,-82.63193,Entire guest suite,Entire home/apt,2,1,,1.0,61.00,99.0,3.9,1,1
1900,326751718,93%,100%,35.60528,-82.5697,Private room in bed and breakfast,Private room,2,1,1.0,1.0,215.00,100.0,0.15,0,1
1901,10159766,98%,100%,35.44693,-82.50277,Entire house,Entire home/apt,8,2,2.0,2.0,160.00,97.0,4.76,1,1
1902,288502396,100%,100%,35.63866,-82.59613,Entire bungalow,Entire home/apt,5,1,2.0,2.0,125.00,98.0,7.18,1,1
1903,52571658,93%,100%,35.59234,-82.61347,Entire guest suite,Entire home/apt,2,1,1.0,1.0,43.00,95.0,2.01,1,0
1904,304938213,99%,100%,35.56963,-82.52827,Entire guest suite,Entire home/apt,2,1,1.0,1.0,99.00,98.0,4.2,1,1
1905,5111981,86%,100%,35.61438,-82.48791,Entire apartment,Entire home/apt,4,1,1.0,2.0,100.00,100.0,1.65,0,1
1906,145533530,95%,100%,35.58049,-82.57718,Entire cottage,Entire home/apt,7,1,2.0,4.0,105.00,100.0,0.51,1,1
1907,12910627,100%,100%,35.56916,-82.56914,Entire guest suite,Entire home/apt,3,1,1.0,1.0,120.00,99.0,5.65,1,0
1908,124060715,99%,100%,35.64461,-82.50813,Entire house,Entire home/apt,6,2,3.0,4.0,209.00,97.0,1.53,0,1
1909,55918963,100%,100%,35.43109,-82.52014,Entire apartment,Entire home/apt,2,1,1.0,1.0,118.00,100.0,6.83,1,1
1910,24682792,99%,100%,35.58765,-82.60833,Entire guest suite,Entire home/apt,3,1,,2.0,78.00,100.0,4.85,1,1
1911,16596642,63%,100%,35.60244,-82.55723,Entire house,Entire home/apt,2,1,1.0,1.0,90.00,100.0,0.27,1,0
1913,180564557,100%,100%,35.63693,-82.59536,Entire house,Entire home/apt,4,1,2.0,2.0,105.00,95.0,5.88,1,1
1914,145533530,95%,100%,35.57531,-82.5397,Entire house,Entire home/apt,5,2,3.0,3.0,113.00,100.0,0.51,1,1
1915,306509163,100%,100%,35.58445,-82.57924,Private room in guest suite,Private room,3,1,1.0,2.0,81.00,100.0,2.56,1,1
1917,28313997,100%,100%,35.48213,-82.58607,Entire guest suite,Entire home/apt,2,1,,1.0,62.00,95.0,3.19,1,1
1918,53922056,73%,96%,35.60194,-82.53327,Entire guest suite,Entire home/apt,7,1,2.0,2.0,145.00,93.0,1.67,0,0
1919,140436665,100%,100%,35.59832,-82.56496,Entire house,Entire home/apt,7,2.5,3.0,4.0,218.00,100.0,0.35,1,1
1920,4294340,98%,100%,35.57649,-82.59395,Entire guest suite,Entire home/apt,2,1,1.0,1.0,129.00,100.0,4.06,0,1
1921,151279507,100%,100%,35.61201,-82.6035,Tent,Entire home/apt,2,1,1.0,1.0,35.00,96.0,1.15,1,0
1922,67969363,99%,100%,35.55329,-82.47545,Entire condominium,Entire home/apt,6,2,2.0,3.0,116.00,100.0,4.97,1,1
1923,242474849,99%,100%,35.62796,-82.58334,Entire townhouse,Entire home/apt,6,1,2.0,3.0,104.00,98.0,5.24,1,1
1924,722034,99%,100%,35.47813,-82.50262,Entire house,Entire home/apt,8,2.5,3.0,3.0,193.00,96.0,3.19,1,1
1925,315904078,100%,100%,35.58413,-82.57702,Entire guest suite,Entire home/apt,2,1,1.0,1.0,77.00,100.0,11.43,1,0
1926,37996476,99%,100%,35.62376,-82.48328,Campsite,Entire home/apt,4,Half-bath,,1.0,73.00,100.0,1.46,1,1
1927,15835619,96%,100%,35.56851,-82.53323,Entire guest suite,Entire home/apt,3,1,,2.0,91.00,100.0,3.48,1,1
1929,363098053,90%,100%,35.63598,-82.63773,Entire cottage,Entire home/apt,4,2,2.0,3.0,95.00,100.0,2.06,1,0
1930,128453939,100%,100%,35.545,-82.67287,Entire townhouse,Entire home/apt,6,2.5,3.0,3.0,121.00,98.0,3.08,1,0
1931,48259724,100%,100%,35.57229,-82.61005,Entire guest suite,Entire home/apt,5,1,2.0,3.0,110.00,100.0,6.32,0,1
1932,344807572,100%,100%,35.547,-82.63248,Entire house,Entire home/apt,6,2,2.0,2.0,66.00,98.0,8.22,1,1
1933,342117529,83%,100%,35.60666,-82.55656,Private room in bed and breakfast,Private room,3,1,1.0,1.0,162.00,100.0,0.26,1,0
1934,127101088,97%,100%,35.61876,-82.57854,Entire house,Entire home/apt,9,2,2.0,4.0,170.00,100.0,1.2,1,1
1936,501449,100%,100%,35.58549,-82.58486,Entire guest suite,Entire home/apt,4,1,2.0,2.0,130.00,92.0,3.85,0,1
1937,173098107,82%,100%,35.58306,-82.4798,Private room in house,Private room,4,2,2.0,2.0,69.00,100.0,0.14,1,1
1939,5100332,98%,100%,35.59755,-82.61599,Entire apartment,Entire home/apt,2,1,1.0,1.0,80.00,97.0,4.0,1,0
1940,364591604,100%,100%,35.46135,-82.58761,Entire cottage,Entire home/apt,4,1,2.0,3.0,136.00,98.0,1.78,1,0
1942,167186184,100%,100%,35.47502,-82.50306,Entire cabin,Entire home/apt,8,2,3.0,5.0,331.00,95.0,3.55,1,1
1943,127101088,97%,100%,35.61696,-82.57875,Entire house,Entire home/apt,4,1,1.0,3.0,121.00,97.0,1.97,1,1
1946,6732523,100%,100%,35.56093,-82.51302,Entire apartment,Entire home/apt,2,1,,1.0,74.00,97.0,3.04,1,1
1948,149601167,99%,100%,35.4803,-82.51179,Entire house,Entire home/apt,12,3,3.0,6.0,272.00,96.0,3.2,0,1
1949,127101088,97%,100%,35.61794,-82.57954,Entire house,Entire home/apt,12,3,3.0,6.0,366.00,96.0,0.91,1,1
1950,285003400,100%,86%,35.44755,-82.55646,Entire guest suite,Entire home/apt,2,1,1.0,1.0,135.00,98.0,1.78,1,0
1951,365672234,96%,90%,35.5505,-82.47985,Entire house,Entire home/apt,12,3,4.0,6.0,296.00,99.0,2.63,1,1
1953,28338684,98%,100%,35.5939,-82.64602,Treehouse,Entire home/apt,3,1,,2.0,136.00,100.0,1.96,1,1
1954,365979586,100%,100%,35.5598,-82.66409,Entire apartment,Entire home/apt,4,1,1.0,2.0,82.00,99.0,5.68,1,0
1955,23293406,93%,80%,35.45951,-82.58469,Entire apartment,Entire home/apt,2,1,2.0,2.0,48.00,100.0,0.84,1,1
1956,3383961,95%,100%,35.47687,-82.58809,Entire house,Entire home/apt,3,1,2.0,2.0,145.00,97.0,0.82,1,0
1957,8051732,84%,100%,35.59348,-82.53712,Entire house,Entire home/apt,4,1,2.0,2.0,138.00,99.0,3.64,1,1
1958,70574517,100%,100%,35.44653,-82.50136,Entire house,Entire home/apt,3,1,1.0,1.0,100.00,100.0,3.17,1,1
1960,366968032,96%,100%,35.59343,-82.49742,Entire apartment,Entire home/apt,6,1,2.0,3.0,135.00,97.0,2.36,1,0
1962,268745968,100%,100%,35.54706,-82.66487,Entire cottage,Entire home/apt,4,2,2.0,2.0,183.00,96.0,3.45,1,1
1963,294147396,100%,100%,35.61877,-82.64964,Entire house,Entire home/apt,8,3,4.0,4.0,227.00,99.0,2.81,1,1
1964,367363875,100%,100%,35.59546,-82.55421,Entire loft,Entire home/apt,5,2,2.0,2.0,275.00,100.0,2.84,1,0
1965,41391552,100%,100%,35.60956,-82.46709,Entire guest suite,Entire home/apt,4,1,1.0,2.0,149.00,98.0,4.52,1,0
1966,141218676,100%,100%,35.4537,-82.50697,Entire guest suite,Entire home/apt,2,1,1.0,1.0,65.00,100.0,7.17,1,1
1967,171833093,89%,99%,35.62912,-82.57661,Entire apartment,Entire home/apt,4,1,2.0,2.0,95.00,100.0,1.72,1,1
1968,171833093,89%,99%,35.63072,-82.57508,Entire apartment,Entire home/apt,4,1,2.0,3.0,85.00,94.0,1.89,1,1
1970,171833093,89%,99%,35.62934,-82.57556,Entire apartment,Entire home/apt,8,2,4.0,4.0,175.00,100.0,1.29,1,1
1971,27581865,98%,100%,35.58026,-82.59245,Entire house,Entire home/apt,4,1,1.0,2.0,128.00,100.0,12.18,1,1
1973,367730375,100%,100%,35.60293,-82.59509,Entire house,Entire home/apt,10,2,4.0,5.0,405.00,100.0,3.25,1,1
1974,171833093,89%,99%,35.55329,-82.65346,Entire house,Entire home/apt,6,2,3.0,3.0,175.00,100.0,0.34,1,1
1975,66441042,100%,100%,35.57533,-82.59505,Entire house,Entire home/apt,4,1,1.0,2.0,114.00,100.0,6.37,1,0
1976,150132226,98%,100%,35.46208,-82.5723,Entire cottage,Entire home/apt,6,1.5,3.0,4.0,121.00,98.0,4.91,1,1
1977,89001844,100%,100%,35.56969,-82.63705,Entire house,Entire home/apt,6,2,4.0,4.0,179.00,99.0,3.47,0,0
1978,57122380,99%,100%,35.49253,-82.50039,Entire cottage,Entire home/apt,4,1,2.0,2.0,140.00,99.0,4.42,1,0
1979,368447506,97%,100%,35.61673,-82.59513,Entire house,Entire home/apt,6,1.5,3.0,3.0,130.00,100.0,3.78,1,0
1980,45447987,80%,90%,35.47877,-82.51856,Entire house,Entire home/apt,4,2,2.0,2.0,160.00,95.0,1.72,1,1
1981,169272906,100%,100%,35.55891,-82.65645,Entire guest suite,Entire home/apt,2,1,1.0,1.0,61.00,99.0,3.24,1,0
1982,151397468,99%,100%,35.55041,-82.4629,Entire house,Entire home/apt,9,4,3.0,5.0,226.00,98.0,1.21,0,0
1983,124896535,100%,100%,35.47187,-82.55812,Private room in house,Private room,2,1,1.0,1.0,75.00,97.0,1.09,1,1
1984,996829,100%,100%,35.58186,-82.56123,Entire guest suite,Entire home/apt,4,2.5,2.0,2.0,137.00,100.0,7.34,1,1
1985,369389855,100%,100%,35.51996,-82.61358,Entire cottage,Entire home/apt,4,1,2.0,2.0,250.00,100.0,1.04,0,1
1986,167186184,100%,100%,35.58672,-82.55381,Entire townhouse,Entire home/apt,6,2,2.0,3.0,281.00,100.0,0.96,1,1
1987,51855399,100%,100%,35.58027,-82.5966,Entire guest suite,Entire home/apt,2,1,1.0,1.0,88.00,100.0,4.08,1,1
1988,355537955,100%,100%,35.64501,-82.48386,Entire cabin,Entire home/apt,4,1,1.0,6.0,95.00,100.0,3.73,1,1
1989,159835412,94%,100%,35.5747,-82.59074,Tiny house,Entire home/apt,4,1,1.0,2.0,115.00,100.0,6.45,1,1
1990,82532633,94%,100%,35.56667,-82.52646,Entire apartment,Entire home/apt,2,1,1.0,1.0,103.00,98.0,2.92,1,1
1991,4532387,67%,100%,35.5075,-82.60297,Entire house,Entire home/apt,6,2.5,3.0,4.0,195.00,100.0,1.45,0,1
1992,140317152,100%,100%,35.59562,-82.50952,Private room in house,Private room,6,1,1.0,5.0,65.00,98.0,9.14,1,0
1993,369749610,100%,100%,35.56044,-82.66102,Entire house,Entire home/apt,6,1,2.0,2.0,120.00,95.0,2.65,0,1
1994,98985842,100%,100%,35.55322,-82.51144,Entire cottage,Entire home/apt,10,2,4.0,6.0,238.00,100.0,2.31,0,1
1995,151397468,99%,100%,35.44858,-82.51295,Entire cottage,Entire home/apt,2,1,1.0,1.0,100.00,91.0,2.43,0,0
1996,369868182,92%,100%,35.50792,-82.66341,Tiny house,Entire home/apt,2,1,,1.0,50.00,93.0,0.49,0,0
1997,13514795,98%,100%,35.61265,-82.52195,Entire cabin,Entire home/apt,4,2,2.0,3.0,178.00,100.0,4.33,1,0
1998,77617179,100%,100%,35.58216,-82.59882,Entire apartment,Entire home/apt,4,1,1.0,2.0,40.00,98.0,3.75,0,0
1999,104847832,94%,90%,35.55751,-82.6151,Private room in house,Private room,2,1,1.0,1.0,59.00,98.0,1.62,1,1
2000,223271373,100%,100%,35.57637,-82.58823,Private room in house,Private room,2,1,1.0,1.0,95.00,98.0,2.56,1,1
2002,229986234,100%,100%,35.45421,-82.49773,Entire house,Entire home/apt,6,2,2.0,3.0,139.00,99.0,4.64,1,0
2003,26047490,98%,100%,35.5587,-82.48966,Entire house,Entire home/apt,6,3,3.0,3.0,245.00,100.0,5.18,1,0
2004,108982756,97%,100%,35.55366,-82.50699,Entire house,Entire home/apt,11,2,4.0,6.0,239.00,100.0,3.37,1,1
2005,122904292,97%,100%,35.61829,-82.64691,Private room in house,Private room,3,1,1.0,1.0,90.00,100.0,2.97,1,0
2006,722034,99%,100%,35.45346,-82.49313,Entire house,Entire home/apt,4,1,2.0,2.0,112.00,100.0,3.06,1,1
2007,169283507,100%,100%,35.5582,-82.66563,Entire guest suite,Entire home/apt,2,1,1.0,1.0,135.00,100.0,2.01,0,0
