,host_id,host_acceptance_rate,host_response_rate,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,reviews_per_month,superhost_flag,host_identity_verified_flag
557,50024355,100%,100%,35.60655,-82.5908,Entire house,Entire home/apt,4,1,1.0,2.0,70.00,98.0,5.87,1,1
560,130352599,96%,100%,35.56762,-82.56686,Entire house,Entire home/apt,10,3.5,4.0,4.0,453.00,99.0,2.59,1,1
561,66582598,89%,89%,35.57472,-82.62429,Entire cabin,Entire home/apt,5,1,2.0,3.0,67.00,100.0,0.53,1,0
563,42676282,100%,100%,35.57969,-82.59653,Entire apartment,Entire home/apt,2,1,1.0,1.0,99.00,94.0,2.46,0,1
565,56347978,99%,96%,35.60062,-82.59334,Entire house,Entire home/apt,5,1,2.0,3.0,73.00,96.0,3.46,1,0
566,133792356,100%,100%,35.60912,-82.55392,Entire guest suite,Entire home/apt,2,1,1.0,1.0,87.00,98.0,1.7,1,1
567,15059098,100%,100%,35.65163,-82.58413,Entire house,Entire home/apt,2,1.5,1.0,1.0,189.00,99.0,1.69,1,1
568,16068834,98%,100%,35.48907,-82.53181,Entire house,Entire home/apt,6,2,3.0,3.0,250.00,100.0,1.62,1,1
570,48428279,91%,100%,35.57357,-82.57393,Entire house,Entire home/apt,4,2,2.0,2.0,233.00,96.0,1.92,1,1
571,26302902,100%,100%,35.63551,-82.55137,Entire guest suite,Entire home/apt,2,1,1.0,1.0,106.00,99.0,3.51,1,1
572,46001530,100%,100%,35.5949,-82.55795,Entire apartment,Entire home/apt,2,1,1.0,1.0,114.00,91.0,3.94,0,0
573,75476809,100%,100%,35.53842,-82.47149,Entire guest suite,Entire home/apt,4,1,1.0,2.0,85.00,98.0,3.96,1,1
574,98078269,23%,100%,35.6051,-82.55036,Entire apartment,Entire home/apt,2,1,1.0,1.0,179.00,100.0,0.07,0,0
575,2551548,100%,100%,35.55704,-82.64593,Entire guesthouse,Entire home/apt,4,1,1.0,2.0,75.00,100.0,2.33,1,0
577,39479809,100%,100%,35.58521,-82.60336,Entire guest suite,Entire home/apt,2,1,1.0,1.0,81.00,98.0,7.28,1,1
579,139692951,100%,100%,35.604,-82.56677,Entire apartment,Entire home/apt,7,1,1.0,3.0,126.00,97.0,2.52,1,0
580,49572070,83%,100%,35.60091,-82.51165,Entire guest suite,Entire home/apt,4,1,1.0,2.0,49.00,97.0,3.93,0,1
581,139747580,100%,100%,35.63802,-82.62458,Entire house,Entire home/apt,16,3.5,5.0,9.0,396.00,96.0,1.78,0,1
582,121669790,100%,100%,35.58653,-82.4996,Private room in house,Private room,2,1,1.0,1.0,78.00,100.0,2.57,1,1
583,141121732,100%,100%,35.5762,-82.60599,Entire bungalow,Entire home/apt,3,1.5,2.0,2.0,115.00,99.0,1.48,0,1
585,141731478,81%,100%,35.65373,-82.58402,Entire house,Entire home/apt,15,3.5,6.0,9.0,751.00,99.0,0.88,1,0
586,1420056,33%,100%,35.55838,-82.46303,Private room in farm stay,Private room,2,1,1.0,1.0,79.00,100.0,2.99,1,1
587,142023667,98%,100%,35.57367,-82.61196,Entire guesthouse,Entire home/apt,4,1,,2.0,71.00,97.0,4.17,1,1
588,142115355,100%,100%,35.59072,-82.5361,Entire house,Entire home/apt,6,2,2.0,4.0,222.00,100.0,2.08,1,1
589,1190262,100%,100%,35.58221,-82.57399,Entire house,Entire home/apt,4,1,1.0,1.0,144.00,99.0,3.36,1,1
590,142642961,94%,100%,35.6193,-82.4707,Entire guest suite,Entire home/apt,4,1,1.0,2.0,95.00,100.0,2.2,1,1
591,121681645,100%,100%,35.47358,-82.51187,Entire house,Entire home/apt,5,1,2.0,3.0,142.00,98.0,0.25,0,1
592,17610409,89%,100%,35.61005,-82.55212,Entire guest suite,Entire home/apt,4,1,2.0,2.0,128.00,97.0,2.62,1,1
593,46001530,100%,100%,35.59251,-82.55658,Entire apartment,Entire home/apt,2,1,,1.0,96.00,88.0,4.86,0,0
594,72903706,98%,100%,35.63231,-82.52789,Entire cottage,Entire home/apt,4,2,2.0,3.0,165.00,96.0,1.19,0,0
595,143018909,100%,100%,35.5868,-82.5413,Entire condominium,Entire home/apt,2,2,2.0,2.0,85.00,100.0,0.28,0,1
596,5097941,91%,100%,35.61249,-82.55435,Entire apartment,Entire home/apt,4,2,2.0,2.0,99.00,99.0,0.82,1,1
597,143141422,98%,100%,35.55225,-82.51144,Entire house,Entire home/apt,6,1,2.0,3.0,70.00,97.0,6.12,1,1
600,124822920,98%,100%,35.61749,-82.56276,Entire guest suite,Entire home/apt,3,1,1.0,2.0,80.00,99.0,2.94,1,0
601,49360051,97%,100%,35.59542,-82.5698,Entire apartment,Entire home/apt,2,1,1.0,1.0,119.00,98.0,2.39,1,1
602,3383961,95%,100%,35.47762,-82.58746,Entire house,Entire home/apt,5,2,3.0,3.0,150.00,96.0,1.85,1,0
603,138795160,99%,100%,35.63337,-82.46705,Entire house,Entire home/apt,3,1,1.0,2.0,114.00,100.0,2.2,1,0
604,78069256,100%,100%,35.6325,-82.53679,Entire guest suite,Entire home/apt,4,1,2.0,2.0,122.00,99.0,2.49,1,1
606,122691303,100%,100%,35.49078,-82.51105,Entire house,Entire home/apt,6,2,3.0,5.0,261.00,99.0,2.95,1,1
608,48402632,95%,100%,35.61509,-82.47508,Entire cottage,Entire home/apt,2,1,,1.0,156.00,99.0,5.72,1,1
609,117926668,100%,100%,35.63759,-82.59359,Entire house,Entire home/apt,4,1,1.0,2.0,87.00,100.0,4.89,1,1
610,22088491,100%,100%,35.59726,-82.56556,Entire guest suite,Entire home/apt,4,1,1.0,2.0,119.00,97.0,10.61,1,1
611,4834939,98%,100%,35.64466,-82.51727,Entire house,Entire home/apt,8,3,4.0,5.0,275.00,100.0,3.69,1,1
612,145187706,92%,100%,35.57007,-82.59509,Entire guesthouse,Entire home/apt,3,1,1.0,1.0,84.00,99.0,2.13,1,1
614,145540939,99%,100%,35.64813,-82.58568,Entire guest suite,Entire home/apt,2,1,1.0,2.0,69.00,99.0,4.31,1,1
615,21702831,93%,100%,35.56479,-82.50847,Entire apartment,Entire home/apt,8,1,2.0,3.0,169.00,95.0,1.72,0,1
616,34871822,83%,100%,35.6011,-82.55863,Entire apartment,Entire home/apt,2,1,1.0,1.0,55.00,100.0,0.03,1,1
617,145883321,95%,100%,35.60129,-82.62924,Entire house,Entire home/apt,7,2,3.0,3.0,254.00,98.0,2.24,1,0
618,71017205,100%,100%,35.58048,-82.55518,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,101.00,97.0,6.3,1,0
619,134950985,100%,100%,35.55007,-82.52431,Entire guest suite,Entire home/apt,2,1,1.0,1.0,59.00,100.0,5.5,1,1
620,5746326,100%,100%,35.61278,-82.48663,Entire cabin,Entire home/apt,4,1,2.0,3.0,182.00,99.0,2.57,1,0
621,98506795,99%,100%,35.59016,-82.56802,Entire apartment,Entire home/apt,4,3,2.0,2.0,144.00,99.0,1.57,1,1
622,19335705,100%,100%,35.59305,-82.61573,Entire condominium,Entire home/apt,3,1,1.0,1.0,66.00,96.0,3.56,1,1
623,146388068,100%,100%,35.55847,-82.50244,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,70.00,99.0,4.66,1,0
624,11691015,82%,100%,35.50822,-82.61177,Entire guest suite,Entire home/apt,2,1,,0.0,77.00,98.0,3.82,1,1
625,19406955,100%,100%,35.61425,-82.50377,Private room in house,Private room,4,1,1.0,3.0,99.00,100.0,1.49,1,1
626,82938040,100%,100%,35.57739,-82.58934,Entire cottage,Entire home/apt,4,1,2.0,2.0,153.00,100.0,3.02,1,1
627,147051198,99%,100%,35.58492,-82.57586,Entire guest suite,Entire home/apt,2,1,1.0,1.0,105.00,99.0,4.89,1,1
628,147439967,84%,100%,35.60029,-82.47677,Entire guest suite,Entire home/apt,4,1,1.0,2.0,70.00,96.0,1.21,0,1
629,4636687,93%,100%,35.55515,-82.6514,Private room in house,Private room,2,1,1.0,1.0,52.00,99.0,1.66,1,0
630,722034,99%,100%,35.6118,-82.48319,Entire house,Entire home/apt,10,3,4.0,6.0,449.00,99.0,0.8,1,1
631,121681645,100%,100%,35.56828,-82.56797,Entire house,Entire home/apt,7,3,3.0,4.0,377.00,99.0,1.07,0,1
632,147800428,100%,100%,35.56605,-82.5255,Entire guest suite,Entire home/apt,2,1,1.0,1.0,86.00,98.0,10.04,1,1
633,2260255,98%,100%,35.63911,-82.60822,Entire house,Entire home/apt,8,2,3.0,5.0,199.00,98.0,2.87,1,1
634,74878335,95%,100%,35.58224,-82.59825,Entire guest suite,Entire home/apt,3,1,1.0,2.0,82.00,96.0,4.64,0,1
636,5976015,99%,100%,35.57151,-82.56761,Entire guest suite,Entire home/apt,4,1,2.0,2.0,157.00,100.0,5.43,1,1
637,148137080,100%,100%,35.53801,-82.61329,Entire apartment,Entire home/apt,3,1,,1.0,95.00,98.0,1.55,1,0
638,146670044,100%,97%,35.58978,-82.55728,Entire bungalow,Entire home/apt,4,1,2.0,2.0,190.00,95.0,7.92,0,1
639,23909518,95%,100%,35.64614,-82.50034,Entire guest suite,Entire home/apt,2,1,1.0,1.0,75.00,99.0,2.07,1,1
640,2939506,100%,100%,35.55633,-82.49533,Entire house,Entire home/apt,8,2.5,3.0,6.0,360.00,98.0,2.93,1,1
641,148593846,100%,100%,35.56371,-82.65952,Entire apartment,Entire home/apt,4,1,1.0,4.0,71.00,97.0,1.45,1,1
642,148691735,97%,100%,35.62215,-82.54797,Private room in guest suite,Private room,2,1,1.0,1.0,132.00,100.0,2.21,1,0
643,59515275,96%,100%,35.65287,-82.54238,Entire house,Entire home/apt,8,3,4.0,4.0,340.00,99.0,1.3,1,0
644,59658375,99%,100%,35.5981,-82.56631,Entire guest suite,Entire home/apt,4,1,1.0,1.0,97.00,99.0,3.81,1,1
645,90517735,90%,100%,35.53389,-82.60583,Entire house,Entire home/apt,6,2,3.0,3.0,219.00,97.0,1.84,1,1
646,3177220,96%,100%,35.56853,-82.6058,Entire guest suite,Entire home/apt,4,1,1.0,2.0,68.00,96.0,1.83,0,1
647,19496141,95%,100%,35.54966,-82.51007,Entire cottage,Entire home/apt,4,1,2.0,2.0,98.00,98.0,7.43,1,1
649,149139818,100%,100%,35.50952,-82.60937,Entire guest suite,Entire home/apt,2,1,1.0,1.0,65.00,100.0,4.86,1,1
650,3651402,100%,100%,35.58474,-82.57438,Entire guest suite,Entire home/apt,2,1,1.0,1.0,127.00,99.0,5.55,1,1
651,8314342,96%,100%,35.57571,-82.58718,Entire apartment,Entire home/apt,3,1,,1.0,110.00,98.0,2.58,1,1
652,149280910,94%,100%,35.60369,-82.54433,Entire guest suite,Entire home/apt,4,1,,2.0,119.00,100.0,3.5,1,1
653,2392127,79%,100%,35.58404,-82.57986,Entire guest suite,Entire home/apt,4,1,1.0,2.0,110.00,87.0,0.98,0,1
654,1413425,100%,100%,35.59096,-82.55697,Entire guest suite,Entire home/apt,4,1,1.0,1.0,157.00,98.0,2.44,1,1
655,143204951,88%,100%,35.56837,-82.52429,Entire apartment,Entire home/apt,4,1,1.0,1.0,141.00,100.0,2.81,1,1
656,46001530,100%,100%,35.59408,-82.55745,Entire apartment,Entire home/apt,2,1,1.0,1.0,88.00,87.0,2.76,0,0
657,134962794,100%,100%,35.61255,-82.54676,Entire guest suite,Entire home/apt,2,1,1.0,1.0,129.00,99.0,3.06,1,1
658,64779746,100%,100%,35.59735,-82.56718,Entire townhouse,Entire home/apt,10,2.5,3.0,6.0,127.00,100.0,0.43,1,1
659,149141828,100%,100%,35.55913,-82.49275,Private room in house,Private room,2,1,1.0,1.0,80.00,98.0,2.22,1,0
661,3483232,100%,100%,35.57273,-82.59305,Private room in bungalow,Private room,4,2,2.0,2.0,109.00,95.0,0.93,1,1
662,5954944,100%,100%,35.62427,-82.57691,Entire bungalow,Entire home/apt,7,1,3.0,5.0,223.00,98.0,3.42,1,1
663,52648308,100%,100%,35.57758,-82.54209,Entire apartment,Entire home/apt,3,1,,1.0,96.00,97.0,3.44,1,1
665,6074062,98%,98%,35.56732,-82.56913,Entire house,Entire home/apt,6,2,3.0,4.0,380.00,99.0,3.03,1,1
666,95254836,100%,100%,35.62714,-82.52924,Entire cottage,Entire home/apt,5,2,2.0,2.0,203.00,100.0,3.58,1,1
667,4461919,94%,100%,35.58576,-82.53063,Entire apartment,Entire home/apt,3,1,1.0,1.0,110.00,97.0,4.06,1,1
668,93023816,99%,100%,35.5758,-82.59092,Private room in guest suite,Private room,2,1,1.0,1.0,65.00,98.0,2.43,1,1
669,152085318,100%,100%,35.46972,-82.56912,Entire cottage,Entire home/apt,4,1,2.0,2.0,157.00,98.0,3.31,1,0
670,5229336,100%,92%,35.58431,-82.57387,Entire guest suite,Entire home/apt,2,1,1.0,1.0,116.00,99.0,3.3,1,1
671,124637972,100%,100%,35.61253,-82.59418,Private room in house,Private room,2,1,1.0,1.0,54.00,97.0,2.26,1,1
672,10282980,100%,100%,35.57763,-82.62047,Private room in house,Private room,2,1,1.0,1.0,70.00,99.0,1.63,0,1
673,152889799,100%,100%,35.59742,-82.49641,Entire apartment,Entire home/apt,4,1,1.0,1.0,51.00,99.0,6.97,1,1
674,96187307,99%,100%,35.63582,-82.62669,Entire house,Entire home/apt,6,3,3.0,3.0,269.00,96.0,0.45,1,1
675,1994122,99%,100%,35.61227,-82.52511,Entire guest suite,Entire home/apt,2,1,1.0,1.0,121.00,98.0,4.55,1,1
676,10294907,100%,100%,35.43864,-82.52546,Entire guest suite,Entire home/apt,2,1,1.0,1.0,60.00,98.0,5.55,1,1
678,1994122,99%,100%,35.61303,-82.52366,Entire guest suite,Entire home/apt,2,1,1.0,1.0,83.00,97.0,4.02,1,1
679,153487202,99%,100%,35.6243,-82.62108,Private room in house,Private room,2,1,1.0,1.0,37.00,98.0,4.59,1,1
680,2799329,94%,100%,35.63776,-82.53018,Entire guest suite,Entire home/apt,2,1,1.0,0.0,91.00,99.0,2.87,1,1
681,153487202,99%,100%,35.62283,-82.62138,Private room in house,Private room,2,1,1.0,0.0,35.00,97.0,2.62,1,1
682,37996476,99%,100%,35.62198,-82.48224,Entire cabin,Entire home/apt,10,4.5,3.0,5.0,357.00,100.0,2.25,1,1
683,108761817,96%,83%,35.62735,-82.53026,Entire guest suite,Entire home/apt,2,1,1.0,1.0,82.00,94.0,1.88,0,0
684,65408548,86%,100%,35.47041,-82.50005,Entire guest suite,Entire home/apt,2,1,1.0,1.0,68.00,94.0,3.72,0,1
685,4716983,100%,100%,35.56388,-82.51944,Entire guesthouse,Entire home/apt,2,1,,2.0,92.00,99.0,6.12,1,1
686,65522713,100%,100%,35.5838,-82.5302,Private room in house,Private room,3,1,1.0,2.0,99.00,99.0,1.6,1,1
687,5180443,91%,88%,35.57162,-82.59181,Entire guesthouse,Entire home/apt,4,1,2.0,2.0,130.00,94.0,0.76,0,1
689,37996476,99%,100%,35.62207,-82.48163,Entire cabin,Entire home/apt,12,4.5,4.0,4.0,377.00,100.0,2.92,1,1
690,154879242,93%,100%,35.61694,-82.5582,Entire apartment,Entire home/apt,2,1,1.0,1.0,82.00,99.0,1.76,1,1
691,155036277,73%,100%,35.44858,-82.51955,Entire guest suite,Entire home/apt,4,1,1.0,3.0,69.00,95.0,2.6,0,1
692,119510171,92%,100%,35.61102,-82.55173,Private room in house,Private room,2,1,1.0,2.0,34.00,100.0,0.07,1,1
693,28130518,100%,100%,35.59739,-82.56375,Entire house,Entire home/apt,2,1,1.0,1.0,114.00,99.0,6.88,1,0
694,155656246,89%,100%,35.58106,-82.64556,Entire apartment,Entire home/apt,4,1,1.0,1.0,116.00,98.0,2.43,1,0
695,144134133,98%,100%,35.47722,-82.505,Entire house,Entire home/apt,6,2,2.0,3.0,121.00,99.0,2.1,1,1
696,129868478,97%,100%,35.56207,-82.51014,Entire guest suite,Entire home/apt,2,1,1.0,1.0,88.00,99.0,1.77,1,1
699,65408548,86%,100%,35.47041,-82.50005,Entire guest suite,Entire home/apt,2,1,1.0,1.0,95.00,92.0,0.31,0,1
700,115662436,98%,100%,35.6367,-82.53824,Entire house,Entire home/apt,2,1,1.0,1.0,81.00,98.0,2.92,1,0
701,121681645,100%,100%,35.54271,-82.51165,Entire cabin,Entire home/apt,8,2,3.0,5.0,270.00,94.0,0.2,0,1
702,1210602,0%,100%,35.62531,-82.54561,Entire guest suite,Entire home/apt,2,1,2.0,1.0,106.00,100.0,0.26,0,1
704,28370948,100%,100%,35.59729,-82.49564,Entire apartment,Entire home/apt,4,1,1.0,2.0,80.00,99.0,3.99,1,1
705,15565480,96%,100%,35.54933,-82.50863,Entire house,Entire home/apt,8,2,3.0,3.0,207.00,98.0,2.37,1,1
706,141355755,100%,100%,35.63801,-82.57386,Entire guest suite,Entire home/apt,4,1,1.0,2.0,86.00,97.0,8.34,1,1
707,158054785,100%,100%,35.44744,-82.55693,Entire house,Entire home/apt,8,2,4.0,5.0,325.00,99.0,0.89,1,0
708,158275564,99%,100%,35.42867,-82.52455,Private room in house,Private room,4,1.5,2.0,2.0,82.00,100.0,1.14,1,0
709,28475957,99%,100%,35.6193,-82.55925,Entire guest suite,Entire home/apt,2,1,1.0,1.0,99.00,100.0,5.82,1,1
710,12610486,71%,100%,35.57602,-82.59122,Entire guesthouse,Entire home/apt,2,1,1.0,2.0,150.00,96.0,0.51,0,1
712,12620801,77%,100%,35.5715,-82.61453,Entire cottage,Entire home/apt,8,2,4.0,4.0,165.00,94.0,1.71,0,0
713,3682939,97%,90%,35.60257,-82.62529,Entire house,Entire home/apt,6,2,3.0,3.0,110.00,97.0,2.4,1,1
714,5097941,91%,100%,35.61269,-82.55416,Entire apartment,Entire home/apt,2,1,1.0,1.0,81.00,99.0,2.66,1,1
715,159599330,95%,100%,35.58385,-82.66034,Private room in farm stay,Private room,4,1,2.0,2.0,56.00,93.0,1.76,0,0
716,8255241,100%,100%,35.59547,-82.53686,Entire apartment,Entire home/apt,4,1,2.0,2.0,195.00,100.0,1.23,1,1
717,24938934,100%,100%,35.44551,-82.46923,Entire cabin,Entire home/apt,8,2,3.0,6.0,236.00,99.0,3.42,1,1
718,141218676,100%,100%,35.45167,-82.5056,Entire guest suite,Entire home/apt,3,1,1.0,2.0,91.00,100.0,9.55,1,1
719,19159885,100%,94%,35.55469,-82.48238,Entire chalet,Entire home/apt,4,1,2.0,4.0,499.00,98.0,0.92,1,1
720,160468605,91%,100%,35.60163,-82.5466,Entire condominium,Entire home/apt,4,1,2.0,2.0,185.00,94.0,1.36,0,1
721,10554436,100%,100%,35.59125,-82.536,Entire house,Entire home/apt,6,1,2.0,2.0,120.00,98.0,2.14,1,1
723,13124017,94%,100%,35.55382,-82.5109,Entire guest suite,Entire home/apt,2,1,1.0,1.0,79.00,96.0,0.59,0,1
724,8480253,100%,100%,35.59313,-82.55398,Entire condominium,Entire home/apt,4,2,2.0,2.0,221.00,85.0,0.24,0,1
725,2978620,100%,100%,35.6218,-82.66457,Entire guesthouse,Entire home/apt,2,1,2.0,4.0,41.00,99.0,4.5,1,1
726,46001530,100%,100%,35.59335,-82.55662,Entire apartment,Entire home/apt,2,1,,1.0,90.00,87.0,3.55,0,0
727,161496536,94%,100%,35.60805,-82.56018,Entire house,Entire home/apt,6,1,2.0,2.0,145.00,97.0,1.32,1,1
728,161559240,100%,100%,35.60284,-82.56692,Private room in bed and breakfast,Private room,2,1,1.0,1.0,155.00,100.0,0.4,0,1
730,24842857,83%,100%,35.47233,-82.53036,Private room in condominium,Private room,2,1,1.0,1.0,74.00,99.0,1.4,1,1
731,161767339,100%,100%,35.5526,-82.62585,Entire house,Entire home/apt,9,3,4.0,5.0,258.00,100.0,4.65,1,0
732,141716178,89%,97%,35.54715,-82.53135,Entire guest suite,Entire home/apt,4,1,1.0,1.0,73.00,99.0,2.51,0,1
733,92530083,97%,100%,35.57169,-82.54077,Entire house,Entire home/apt,4,1,1.0,1.0,111.00,99.0,2.99,1,1
734,24764498,100%,100%,35.60576,-82.57573,Entire guest suite,Entire home/apt,5,1,2.0,2.0,209.00,100.0,2.58,1,1
736,61329735,100%,100%,35.60433,-82.56904,Entire house,Entire home/apt,2,1,,1.0,105.00,92.0,2.01,1,0
737,15788000,99%,98%,35.50798,-82.65773,Entire cottage,Entire home/apt,8,2,3.0,4.0,187.00,92.0,5.6,0,0
738,163159488,100%,100%,35.5583,-82.65192,Entire house,Entire home/apt,12,2,4.0,6.0,171.00,98.0,3.74,1,1
739,34871822,83%,100%,35.60006,-82.55962,Entire apartment,Entire home/apt,2,0,1.0,1.0,45.00,97.0,0.2,1,1
740,163438093,97%,100%,35.64148,-82.51919,Entire guest suite,Entire home/apt,2,1,1.0,1.0,50.00,98.0,2.33,1,1
741,163503810,100%,100%,35.55096,-82.63597,Entire house,Entire home/apt,4,2,2.0,2.0,72.00,99.0,1.02,0,0
742,5961563,99%,100%,35.58726,-82.57304,Entire guest suite,Entire home/apt,2,1,,1.0,99.00,95.0,5.42,0,1
743,3028199,100%,100%,35.56047,-82.50711,Private room in house,Private room,2,1,1.0,1.0,44.00,97.0,9.69,1,1
744,3028199,100%,100%,35.55991,-82.50493,Private room in house,Private room,2,1,1.0,1.0,33.00,97.0,3.59,1,1
746,19595654,100%,100%,35.58782,-82.50958,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,109.00,99.0,10.35,1,1
748,66193031,100%,100%,35.57054,-82.63865,Entire house,Entire home/apt,8,1,3.0,5.0,124.00,99.0,8.35,1,1
749,59054700,100%,100%,35.50689,-82.60438,Entire house,Entire home/apt,4,1,1.0,2.0,97.00,99.0,4.7,1,1
750,15565480,96%,100%,35.55115,-82.5092,Entire apartment,Entire home/apt,3,1,2.0,2.0,86.00,99.0,1.85,1,1
751,66063354,99%,100%,35.46964,-82.57371,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,92.00,100.0,1.06,1,0
752,66063354,99%,100%,35.46997,-82.57696,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,109.00,97.0,0.73,1,0
753,66063354,99%,100%,35.46887,-82.57392,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,109.00,95.0,0.44,1,0
754,66063354,99%,100%,35.46998,-82.57737,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,92.00,91.0,0.4,1,0
755,128356088,100%,100%,35.50927,-82.6086,Entire apartment,Entire home/apt,2,1,1.0,1.0,89.00,100.0,2.59,1,0
756,10643735,100%,100%,35.59895,-82.56055,Entire house,Entire home/apt,4,2,2.0,2.0,93.00,97.0,0.29,1,1
757,37289690,98%,100%,35.56812,-82.52837,Entire guest suite,Entire home/apt,4,1,1.0,2.0,83.00,99.0,2.61,1,0
759,161559240,100%,100%,35.60438,-82.56544,Private room in bed and breakfast,Private room,2,1,1.0,1.0,169.00,100.0,0.06,0,1
760,161559240,100%,100%,35.60301,-82.56724,Private room in bed and breakfast,Private room,2,1,1.0,1.0,145.00,100.0,0.31,0,1
761,158275564,99%,100%,35.43625,-82.52271,Private room in house,Private room,2,1.5,1.0,1.0,46.00,99.0,3.75,1,0
762,158275564,99%,100%,35.43625,-82.52271,Private room in house,Private room,2,1,1.0,1.0,43.00,99.0,4.85,1,0
763,47777952,99%,100%,35.57233,-82.60316,Entire guest suite,Entire home/apt,2,1,1.0,3.0,111.00,97.0,3.04,0,1
764,29009882,99%,100%,35.58178,-82.58958,Entire guest suite,Entire home/apt,3,1,1.0,2.0,98.00,100.0,6.69,1,1
765,168602517,100%,100%,35.55865,-82.53189,Private room in house,Private room,2,1,1.0,1.0,78.00,96.0,3.17,1,0
766,167400820,100%,100%,35.59213,-82.54787,Entire bungalow,Entire home/apt,2,1,1.0,1.0,89.00,98.0,6.5,1,1
767,164512814,98%,100%,35.5934,-82.5912,Entire guesthouse,Entire home/apt,2,1,,1.0,94.00,97.0,6.78,1,1
768,23535333,100%,100%,35.59841,-82.56367,Entire apartment,Entire home/apt,3,1,1.0,1.0,91.00,98.0,3.42,1,1
770,50233757,98%,100%,35.42789,-82.46341,Entire cabin,Entire home/apt,4,1,2.0,2.0,79.00,100.0,3.92,1,1
771,16233515,100%,100%,35.61767,-82.58097,Entire guest suite,Entire home/apt,2,1,1.0,1.0,80.00,98.0,7.33,1,1
772,170428521,100%,100%,35.58098,-82.5624,Entire apartment,Entire home/apt,2,1,1.0,1.0,108.00,99.0,3.64,1,0
773,38775538,100%,100%,35.6009,-82.51379,Private room in house,Private room,4,2,2.0,3.0,78.00,94.0,2.6,0,0
774,21313437,100%,100%,35.60678,-82.55788,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,150.00,99.0,0.57,1,1
775,96818723,100%,100%,35.58761,-82.6256,Private room in bungalow,Private room,1,1,1.0,1.0,29.00,99.0,1.7,1,1
776,89752652,98%,100%,35.61301,-82.55655,Private room in house,Private room,2,1,1.0,1.0,75.00,99.0,3.82,1,1
777,6898358,100%,100%,35.60417,-82.5082,Private room in farm stay,Private room,2,1.5,1.0,1.0,89.00,100.0,0.95,1,1
778,37152088,100%,100%,35.6019,-82.55996,Entire guest suite,Entire home/apt,4,1,2.0,2.0,123.00,98.0,10.4,1,0
779,1329460,100%,100%,35.60129,-82.55514,Entire house,Entire home/apt,4,3,2.0,2.0,135.00,99.0,1.81,1,1
780,56436566,100%,100%,35.63189,-82.65029,Entire house,Entire home/apt,12,2.5,4.0,5.0,163.00,98.0,6.79,1,1
781,14043734,100%,100%,35.60367,-82.5641,Private room in house,Private room,2,1,1.0,1.0,75.00,99.0,2.59,1,1
782,16309147,99%,100%,35.59282,-82.53287,Entire guest suite,Entire home/apt,6,1,2.0,3.0,91.00,99.0,5.07,1,0
783,41401822,100%,100%,35.55521,-82.66446,Entire apartment,Entire home/apt,4,1,1.0,1.0,70.00,99.0,5.54,1,1
784,152085318,100%,100%,35.6114,-82.64056,Entire cabin,Entire home/apt,4,1,2.0,2.0,151.00,99.0,4.14,1,0
785,173891500,100%,100%,35.59846,-82.48025,Entire cabin,Entire home/apt,4,1,2.0,2.0,125.00,100.0,3.45,1,1
786,4507071,100%,100%,35.5982,-82.55433,Entire condominium,Entire home/apt,2,1,1.0,1.0,187.00,99.0,3.98,1,1
787,14649701,98%,100%,35.481,-82.51881,Entire guesthouse,Entire home/apt,3,1,1.0,2.0,94.00,99.0,3.24,1,1
788,54379432,100%,100%,35.6034,-82.5553,Private room in house,Private room,2,1,1.0,1.0,75.00,96.0,4.88,1,1
789,174586650,100%,100%,35.60852,-82.55077,Entire guest suite,Entire home/apt,2,1,1.0,1.0,114.00,100.0,2.08,1,1
790,174650915,98%,100%,35.45492,-82.53496,Entire townhouse,Entire home/apt,8,2.5,3.0,4.0,120.00,91.0,0.25,1,1
791,174650915,98%,100%,35.45616,-82.5358,Private room in townhouse,Private room,3,1,1.0,1.0,50.00,99.0,3.71,1,1
793,149601167,99%,100%,35.59869,-82.55431,Entire condominium,Entire home/apt,2,1,1.0,1.0,66.00,92.0,0.68,0,1
794,7075213,100%,100%,35.55565,-82.50748,Entire guesthouse,Entire home/apt,3,1,1.0,2.0,113.00,99.0,5.05,1,1
795,10568961,100%,100%,35.56951,-82.6154,Entire apartment,Entire home/apt,6,1,2.0,3.0,99.00,98.0,2.57,0,1
796,40137306,100%,100%,35.61665,-82.47448,Private room in guest suite,Private room,4,1,1.0,4.0,67.00,100.0,7.18,1,1
797,153143003,93%,100%,35.5986,-82.55467,Entire condominium,Entire home/apt,2,1,,1.0,133.00,99.0,1.89,1,1
798,169331389,100%,100%,35.44491,-82.55249,Private room in house,Private room,2,1,1.0,1.0,49.00,99.0,9.67,1,1
799,175474451,80%,100%,35.50978,-82.61231,Entire house,Entire home/apt,6,2,3.0,4.0,160.00,98.0,0.55,1,1
